state	yr	qtr	index_nsa	index_sa	Warning
AK	1991	1	100.00	100.00	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	1991	2	100.74	100.21	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	1991	3	101.85	101.17	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	1991	4	101.75	101.75	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	1992	1	102.29	102.23	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	1992	2	103.91	103.38	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	1992	3	104.70	103.99	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	1992	4	104.08	104.16	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	1993	1	104.79	104.60	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	1993	2	106.90	106.36	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	1993	3	108.10	107.43	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	1993	4	110.22	110.36	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	1994	1	110.96	110.64	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	1994	2	111.19	110.63	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	1994	3	112.54	111.95	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	1994	4	111.02	111.15	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	1995	1	114.63	114.26	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	1995	2	116.22	115.59	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	1995	3	117.52	116.97	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	1995	4	117.46	117.57	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	1996	1	120.58	120.27	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	1996	2	120.81	120.04	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	1996	3	120.45	119.89	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	1996	4	123.03	123.11	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	1997	1	123.26	123.16	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	1997	2	124.56	123.59	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	1997	3	125.08	124.43	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	1997	4	125.32	125.41	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	1998	1	125.44	125.62	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	1998	2	129.13	127.93	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	1998	3	129.78	128.97	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	1998	4	130.71	130.84	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	1999	1	131.31	131.79	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	1999	2	133.85	132.48	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	1999	3	134.29	133.21	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	1999	4	130.66	130.94	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2000	1	132.60	133.21	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2000	2	136.79	135.39	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2000	3	137.67	136.33	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2000	4	136.26	136.70	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2001	1	139.16	139.77	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2001	2	143.97	142.63	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2001	3	146.83	145.21	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2001	4	147.57	148.16	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2002	1	148.41	148.90	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2002	2	152.81	151.61	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2002	3	157.43	155.58	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2002	4	156.25	156.89	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2003	1	159.88	160.33	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2003	2	163.71	162.57	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2003	3	166.35	164.31	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2003	4	170.11	170.82	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2004	1	174.80	175.30	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2004	2	178.37	177.07	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2004	3	185.04	182.84	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2004	4	186.95	187.63	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2005	1	192.30	193.10	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2005	2	198.80	197.02	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2005	3	206.32	204.06	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2005	4	206.76	207.43	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2006	1	210.70	211.81	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2006	2	218.20	215.93	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2006	3	219.88	217.71	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2006	4	219.23	219.69	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2007	1	221.01	222.54	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2007	2	228.91	226.26	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2007	3	225.86	223.65	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2007	4	221.40	221.83	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2008	1	215.68	217.31	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2008	2	225.86	223.23	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2008	3	223.88	221.61	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2008	4	224.97	225.30	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2009	1	223.42	225.35	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2009	2	218.86	216.38	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2009	3	216.92	214.44	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2009	4	215.07	215.43	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2010	1	213.43	215.37	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2010	2	221.81	219.53	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2010	3	226.04	223.02	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2010	4	219.81	220.17	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2011	1	222.75	225.15	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2011	2	227.02	224.71	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2011	3	227.33	223.85	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2011	4	224.04	224.55	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2012	1	214.61	217.21	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2012	2	228.73	226.29	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2012	3	230.31	226.57	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2012	4	228.04	228.50	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2013	1	226.93	230.09	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
